epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,227.136,1.04266,0.61757,0.92511,0.90725,0.73684,0.7619,0.33119,1.80287,1.23449,1.27264,0.0015842,0.0015842,0.0015842
128,229.237,1.14051,0.62281,0.93621,0.93068,0.73684,0.77701,0.35433,1.92901,1.32742,1.31128,0.0015809,0.0015809,0.0015809
129,231.581,1.07817,0.62487,0.88611,0.93317,0.73505,0.81938,0.37852,1.92934,1.33601,1.33222,0.0015776,0.0015776,0.0015776
130,233.237,1.01136,0.64712,0.91168,0.93301,0.73331,0.76702,0.37878,1.77803,1.33484,1.34085,0.0015743,0.0015743,0.0015743
131,234.704,1.14936,0.63059,0.92965,0.86638,0.73684,0.75515,0.3648,1.73256,1.30979,1.33566,0.001571,0.001571,0.001571
132,236.416,1.13952,0.65069,0.94379,0.85871,0.73684,0.73508,0.34441,1.70578,1.30068,1.32518,0.0015677,0.0015677,0.0015677
133,237.901,1.08543,0.61567,0.95568,0.90525,0.73684,0.74557,0.3531,1.72923,1.29423,1.33914,0.0015644,0.0015644,0.0015644
134,239.542,1.05137,0.59418,0.92065,0.86996,0.73684,0.75686,0.37898,1.75957,1.39419,1.3682,0.0015611,0.0015611,0.0015611
135,240.963,1.05447,0.60911,0.90295,0.87415,0.73148,0.75822,0.37367,1.69661,1.38057,1.32129,0.0015578,0.0015578,0.0015578
136,243.227,1.05658,0.60675,0.90519,0.81356,0.73684,0.76393,0.36468,1.67827,1.45864,1.29883,0.0015545,0.0015545,0.0015545
137,245.56,1.03506,0.60353,0.92393,0.81888,0.73684,0.73482,0.33773,1.71661,1.46326,1.32657,0.0015512,0.0015512,0.0015512
138,247.228,1.01283,0.62916,0.91626,0.7869,0.73684,0.70166,0.30261,1.81508,1.46409,1.39179,0.0015479,0.0015479,0.0015479
139,248.811,1.03883,0.66577,0.9055,0.77428,0.73684,0.73662,0.34667,1.78529,1.40067,1.36537,0.0015446,0.0015446,0.0015446
140,250.619,0.97346,0.58691,0.88924,0.81437,0.73684,0.76217,0.3761,1.71112,1.41191,1.296,0.0015413,0.0015413,0.0015413
141,252.207,1.08552,0.65476,0.93407,0.85501,0.73684,0.77186,0.39428,1.727,1.3903,1.28731,0.001538,0.001538,0.001538
142,253.647,1.156,0.63433,0.93925,0.93326,0.73605,0.7901,0.38633,1.78044,1.32769,1.27015,0.0015347,0.0015347,0.0015347
143,255.18,1.04762,0.57529,0.90517,0.93315,0.73481,0.80548,0.39331,1.75019,1.3072,1.25887,0.0015314,0.0015314,0.0015314
144,257.077,1.01204,0.59026,0.88099,0.93254,0.72802,0.82414,0.39332,1.69506,1.35163,1.28807,0.0015281,0.0015281,0.0015281
145,259.579,1.00998,0.542,0.90173,0.91611,0.73684,0.8131,0.38739,1.74934,1.42503,1.34448,0.0015248,0.0015248,0.0015248
146,261.654,1.09643,0.63201,0.9076,0.96152,0.73684,0.82375,0.36485,1.77636,1.33827,1.40483,0.0015215,0.0015215,0.0015215
147,263.156,1.05559,0.62671,0.9092,0.92154,0.73684,0.81858,0.37598,1.73645,1.15411,1.3782,0.0015182,0.0015182,0.0015182
148,264.912,1.03503,0.57,0.92758,0.9332,0.73538,0.8392,0.40962,1.73149,1.17302,1.37891,0.0015149,0.0015149,0.0015149
149,266.422,1.00432,0.61499,0.87941,0.93064,0.73684,0.85248,0.38412,1.75161,1.17094,1.39941,0.0015116,0.0015116,0.0015116
150,267.954,1.00694,0.59428,0.89604,1,0.73205,0.83504,0.3795,1.7651,1.3008,1.41458,0.0015083,0.0015083,0.0015083
151,269.414,1.01606,0.59545,0.88507,1,0.71302,0.81957,0.37582,1.75586,1.36753,1.39594,0.001505,0.001505,0.001505
152,271.37,1.00284,0.66908,0.91716,0.96265,0.68421,0.796,0.37796,1.80601,1.42453,1.40201,0.0015017,0.0015017,0.0015017
153,273.856,1.0464,0.57226,0.91585,0.93514,0.68421,0.79139,0.37405,1.79973,1.33565,1.37385,0.0014984,0.0014984,0.0014984
154,275.869,0.9745,0.60644,0.91156,0.90927,0.73684,0.75946,0.35785,1.74502,1.3966,1.33577,0.0014951,0.0014951,0.0014951
155,277.528,1.01548,0.60041,0.90885,0.93294,0.73253,0.76168,0.37041,1.69451,1.42725,1.32813,0.0014918,0.0014918,0.0014918
156,278.962,1.04237,0.59138,0.92792,0.92376,0.68421,0.75101,0.36492,1.75643,1.56611,1.32146,0.0014885,0.0014885,0.0014885
157,280.658,0.94893,0.5536,0.88531,0.85209,0.63158,0.65341,0.35424,1.77216,1.52441,1.32926,0.0014852,0.0014852,0.0014852
158,282.269,0.9483,0.53507,0.89912,0.8087,0.68421,0.66161,0.34117,1.74767,1.46446,1.33128,0.0014819,0.0014819,0.0014819
159,283.851,0.99768,0.57899,0.89553,0.85168,0.63158,0.66813,0.33728,1.75401,1.44015,1.31274,0.0014786,0.0014786,0.0014786
160,285.574,1.04282,0.5933,0.91184,0.93271,0.72996,0.77347,0.37251,1.84073,1.48716,1.30735,0.0014753,0.0014753,0.0014753
161,287.827,0.93371,0.57019,0.89929,0.93274,0.73024,0.78457,0.38749,1.83125,1.49129,1.3158,0.001472,0.001472,0.001472
162,290.025,1.01644,0.61442,0.87188,0.93304,0.73365,0.7919,0.36515,1.85074,1.45714,1.35229,0.0014687,0.0014687,0.0014687
163,291.63,1.073,0.58444,0.88756,0.93203,0.73684,0.78213,0.35492,1.84939,1.42729,1.34488,0.0014654,0.0014654,0.0014654
164,293.306,0.97559,0.58201,0.95053,0.9332,0.73536,0.7669,0.33189,1.87952,1.50019,1.33809,0.0014621,0.0014621,0.0014621
165,294.859,1.02982,0.57695,0.88639,0.81434,0.73684,0.75225,0.32084,1.94431,1.47508,1.36881,0.0014588,0.0014588,0.0014588
166,296.436,1.03246,0.55701,0.90876,0.81807,0.73684,0.73098,0.28865,1.89453,1.40815,1.37302,0.0014555,0.0014555,0.0014555
167,298.254,1.03465,0.52601,0.90744,0.81903,0.73684,0.7344,0.29092,1.88418,1.34839,1.37877,0.0014522,0.0014522,0.0014522
168,300.067,1.12067,0.60873,0.92413,0.94311,0.68421,0.7729,0.32383,1.91097,1.20997,1.3588,0.0014489,0.0014489,0.0014489
169,302.292,1.064,0.53642,0.95744,0.90024,0.73684,0.80085,0.31339,1.91714,1.16484,1.33695,0.0014456,0.0014456,0.0014456
170,304.612,1.06984,0.54462,0.86888,0.94534,0.73684,0.8008,0.32341,1.89832,1.19322,1.28105,0.0014423,0.0014423,0.0014423
